District,Building name,Last date of visit of the case(s),Related cases
Tuen Mun,Fortune Villa,28/12/2022,
Tuen Mun,Kei Lun Wai,28/12/2022,
Tuen Mun,"Block 10, Lung Mun Oasis",28/12/2022,
Tuen Mun,"Block 11, Lung Mun Oasis",28/12/2022,
Tuen Mun,"Block 12, Lung Mun Oasis",28/12/2022,
Tuen Mun,"Block 13, Lung Mun Oasis",28/12/2022,
Tuen Mun,"Block 14, Lung Mun Oasis",28/12/2022,
Tuen Mun,"Block 15, Lung Mun Oasis",28/12/2022,
Tuen Mun,"Block 16, Lung Mun Oasis",28/12/2022,
Tuen Mun,"Block 3, Lung Mun Oasis",28/12/2022,
Tuen Mun,"Block 6, Lung Mun Oasis",28/12/2022,
Tuen Mun,"Block 7, Lung Mun Oasis",28/12/2022,
Tuen Mun,"Block 8, Lung Mun Oasis",28/12/2022,
Tuen Mun,"South Wing, 2Gether",28/12/2022,
Tuen Mun,"Tower 2, Oma Oma",27/12/2022,
Tuen Mun,"Tower 1, The Carmel",27/12/2022,
Tuen Mun,"Tower 1A, Lepont",27/12/2022,
Tuen Mun,"Tower 1B, Lepont",27/12/2022,
Tuen Mun,"Tower 3B, Lepont",27/12/2022,
Tuen Mun,"Tower 5A, Lepont",27/12/2022,
Tuen Mun,Tseng Tau Sheung Tsuen,27/12/2022,
Tuen Mun,Tseng Tau Village,27/12/2022,
Tuen Mun,South Hillcrest,27/12/2022,
Tuen Mun,"Ting Man House, Siu On Court",27/12/2022,
Tuen Mun,"Ting Yin House, Siu On Court",27/12/2022,
Tuen Mun,"Yeh King House, Siu Shan Court",27/12/2022,
Tuen Mun,"Siu Wai House, Siu Hong Court",27/12/2022,
Tuen Mun,"Siu Ping House, Siu Hong Court",27/12/2022,
Tuen Mun,"Siu Sun House, Siu Hong Court",27/12/2022,
Tuen Mun,"Siu Wing House, Siu Hong Court",27/12/2022,
Tuen Mun,Siu Pong Court,27/12/2022,
Tuen Mun,"Sui Lun House, Siu Lun Court",27/12/2022,
Tuen Mun,"Block 3, Alpine Garden",27/12/2022,
Tuen Mun,"Oi Lim House, Yau Oi Estate",27/12/2022,
Tuen Mun,"Block 4, Parkland Villas",27/12/2022,
Tuen Mun,"Block 7, Parkland Villas",27/12/2022,
Tuen Mun,"Block 4, Richland Garden",27/12/2022,
Tuen Mun,"Block 2, The Sea Crest",27/12/2022,
Tuen Mun,Kar Wah Building,27/12/2022,
Tuen Mun,Victory Building,27/12/2022,
Tuen Mun,"Block 8, Glorious Garden",27/12/2022,
Tuen Mun,Fu Hang Building,27/12/2022,
Tuen Mun,"Block C, Trend Plaza",27/12/2022,
Tuen Mun,"Block D, Trend Plaza",27/12/2022,
Tuen Mun,"King Wing House, Shan King Estate",27/12/2022,
Tuen Mun,"King Lai House, Shan King Estate",27/12/2022,
Tuen Mun,Honley Court,27/12/2022,
Tuen Mun,"Block A, Hong King Garden",27/12/2022,
Tuen Mun,"Tower 1B, Mount Regency",27/12/2022,
Tuen Mun,"Tower 1, Emerald Bay",27/12/2022,
Tuen Mun,"Block 1, Hanford Garden",27/12/2022,
Tuen Mun,"Block 1, Handsome Court",27/12/2022,
Tuen Mun,"Block 2, Handsome Court",27/12/2022,
Tuen Mun,"Block 3, Handsome Court",27/12/2022,
Tuen Mun,Hotel Cozi Resort,27/12/2022,
Tuen Mun,"Block 3, Yuet Wu Villa",27/12/2022,
Tuen Mun,"Block 8, Yuet Wu Villa",27/12/2022,
Tuen Mun,"Block 6, Hanison Garden",27/12/2022,
Tuen Mun,"Tower 3, Aegean Coast",27/12/2022,
Tuen Mun,"Tower 8, Aegean Coast",27/12/2022,
Tuen Mun,Parkview Court,27/12/2022,
Tuen Mun,"San Pui House, San Wai Court",27/12/2022,
Tuen Mun,"Block 10, Sun Tuen Mun Centre",27/12/2022,
Tuen Mun,"Tower 11, Avignon",27/12/2022,
Tuen Mun,"Tower 1, Prime View Garden",27/12/2022,
Tuen Mun,"Block 4, Prime View Garden",27/12/2022,
Tuen Mun,Yeung Siu Hang,27/12/2022,
Tuen Mun,"Yuet Tin House, Yan Tin Estate",27/12/2022,
Tuen Mun,"Block 7, Aqua Blue",27/12/2022,
Tuen Mun,"Block 1, Grand Pacific Views",27/12/2022,
Tuen Mun,"Block 3, Grand Pacific Views",27/12/2022,
Tuen Mun,"Block 3, Seaview Garden",27/12/2022,
Tuen Mun,"Block 8, Grand Pacific Heights",27/12/2022,
Tuen Mun,Hoi Shing Building,27/12/2022,
Tuen Mun,"Tower 5, The Laguna, The Bloomsway",27/12/2022,
Tuen Mun,Rosedale Gardens,27/12/2022,
Tuen Mun,Jade Grove,27/12/2022,
Tuen Mun,Tsz Tin Village,27/12/2022,
Tuen Mun,"Block 10, Bauhinia Garden",27/12/2022,
Tuen Mun,"Lok Wing Yuen, Chi Lok Fa Yuen",27/12/2022,
Tuen Mun,"Lok Man Yuen, Chi Lok Fa Yuen",27/12/2022,
Tuen Mun,"Block 2, Melody Garden",27/12/2022,
Tuen Mun,"Block 3, Melody Garden",27/12/2022,
Tuen Mun,"Block 5, Melody Garden",27/12/2022,
Tuen Mun,"Block 6, Melody Garden",27/12/2022,
Tuen Mun,"Block 7, Melody Garden",27/12/2022,
Tuen Mun,"Block E, Greenland Garden",27/12/2022,
Tuen Mun,"Block 1, Beneville",27/12/2022,
Tuen Mun,Leung Tin Village,27/12/2022,
Tuen Mun,Villa Pinada,27/12/2022,
Tuen Mun,Tsoi Yuen Village,27/12/2022,
Tuen Mun,Wah Lee Building,27/12/2022,
Tuen Mun,Wah Hing Mansion,27/12/2022,
Tuen Mun,My Loft,27/12/2022,
Tuen Mun,Lam Tei Main Street,27/12/2022,
Tuen Mun,Lingrade Garden,27/12/2022,
Tuen Mun,"Block 8, The Sherwood",27/12/2022,
Tuen Mun,"Tower 2, Miami Beach Towers",27/12/2022,
Tuen Mun,"Tower 3, Miami Beach Towers",27/12/2022,
Tuen Mun,"Block 1, Kam Fai Garden",27/12/2022,
Tuen Mun,"Block 3, Kam Fai Garden",27/12/2022,
Tuen Mun,Kam Fat Building,27/12/2022,
Tuen Mun,"Block 3, Eldo Court",27/12/2022,
Tuen Mun,"Block E, Tsing Chung Koon Road Government Quarters",27/12/2022,
Tuen Mun,"Block 17, Hong Kong Gold Coast",27/12/2022,
Tuen Mun,"Block 4, Hong Kong Gold Coast",27/12/2022,
Tuen Mun,Look Yuen,27/12/2022,
Tuen Mun,"Tower 1, JC Place",27/12/2022,
Tuen Mun,"Block 4, Lung Mun Oasis",27/12/2022,
Tuen Mun,"Block 9, Lung Mun Oasis",27/12/2022,
Tuen Mun,2Gether,27/12/2022,
Tuen Mun,"Tower 2A, Lepont",26/12/2022,
Tuen Mun,"Tower 5B, Lepont",26/12/2022,
Tuen Mun,"Block A, Grandeur Garden",26/12/2022,
Tuen Mun,Yick Lee Building,26/12/2022,
Tuen Mun,"Ting Chi House, Siu On Court",26/12/2022,
Tuen Mun,"Cheung King House, Siu Shan Court",26/12/2022,
Tuen Mun,"Block 1, Alpine Garden",26/12/2022,
Tuen Mun,"Block 8, Parkland Villas",26/12/2022,
Tuen Mun,Ka Hay Building,26/12/2022,
Tuen Mun,Rich Building,26/12/2022,
Tuen Mun,"Block 11, Glorious Garden",26/12/2022,
Tuen Mun,"Block E, Trend Plaza",26/12/2022,
Tuen Mun,"Tower 5, Seacoast Royale",26/12/2022,
Tuen Mun,"Block C, Brilliant Garden",26/12/2022,
Tuen Mun,"Block A, Rainbow Garden",26/12/2022,
Tuen Mun,"Tower 2A, Emerald Bay",26/12/2022,
Tuen Mun,"Block 5, Handsome Court",26/12/2022,
Tuen Mun,"Tower 10, Avignon",26/12/2022,
Tuen Mun,"Tower 3, Avignon",26/12/2022,
Tuen Mun,To Yuen Wai,26/12/2022,
Tuen Mun,Top Court,26/12/2022,
Tuen Mun,Chik Yuen,26/12/2022,
Tuen Mun,"Block 1, Seaview Garden",26/12/2022,
Tuen Mun,"Block 2, Villa Sapphire",26/12/2022,
Tuen Mun,"Block 10, Grand Pacific Heights",26/12/2022,
Tuen Mun,"Tower 4, Pierhead Garden",26/12/2022,
Tuen Mun,"Tower 2, The Laguna, The Bloomsway",26/12/2022,
Tuen Mun,"Tower 8, The Laguna, The Bloomsway",26/12/2022,
Tuen Mun,"Amber, Jade Grove",26/12/2022,
Tuen Mun,"Tower 2, Century Gateway",26/12/2022,
Tuen Mun,"Block 5, Tsui Ning Garden",26/12/2022,
Tuen Mun,Man Shing Building,26/12/2022,
Tuen Mun,"Tower 4, Goodview Garden",26/12/2022,
Tuen Mun,"Tower 4, Miami Beach Towers",26/12/2022,
Tuen Mun,Kim Bo Building,26/12/2022,
Tuen Mun,Golden Court,26/12/2022,
Tuen Mun,"Block 4, Kam Fai Garden",26/12/2022,
Tuen Mun,"Block 2, Faraday House",26/12/2022,
Tuen Mun,Tsing Shan Village,26/12/2022,
Tuen Mun,"Block 8, Hong Kong Gold Coast",26/12/2022,
Tuen Mun,Sun Court,26/12/2022,
Tuen Mun,"Block 2, Lung Mun Oasis",26/12/2022,
Tuen Mun,"Tower 3, Napa",25/12/2022,
Tuen Mun,"Tower 6, Napa",25/12/2022,
Tuen Mun,"Tower 3A, Lepont",25/12/2022,
Tuen Mun,"Tao King House, Siu Shan Court",25/12/2022,
Tuen Mun,"Siu Hang House, Siu Hong Court",25/12/2022,
Tuen Mun,"Block 5, Alpine Garden",25/12/2022,
Tuen Mun,"Block 2, Hoi Tak Gardens",25/12/2022,
Tuen Mun,Lee Bo Building,25/12/2022,
Tuen Mun,South Crest,25/12/2022,
Tuen Mun,"Wo Hei House, Wo Tin Estate",25/12/2022,
Tuen Mun,106 Ka Choi Lane,25/12/2022,
Tuen Mun,21 Ka Fuk Lane,25/12/2022,
Tuen Mun,22 Ka Fuk Lane,25/12/2022,
Tuen Mun,31 Ka Fuk Lane,25/12/2022,
Tuen Mun,Four Pearls Building,25/12/2022,
Tuen Mun,Kin Ga Industrial Building,25/12/2022,
Tuen Mun,"Block 10, Phase 2, Tai Hing Gardens",25/12/2022,
Tuen Mun,"Block 5, Phase 2, Tai Hing Gardens",25/12/2022,
Tuen Mun,"Block 1, Dragon Inn Court",25/12/2022,
Tuen Mun,Fiona Garden,25/12/2022,
Tuen Mun,"Block A, Trend Plaza",25/12/2022,
Tuen Mun,"King Fu House, Shan King Estate",25/12/2022,
Tuen Mun,"The Jockey Club New Hall, Lingnan University",25/12/2022,
Tuen Mun,"Dorothy Y.L.Wong Building, Lingnan University",25/12/2022,
Tuen Mun,"Tower 7, Skypoint Royale",25/12/2022,
Tuen Mun,"Tower 1, Starfront Royale",25/12/2022,
Tuen Mun,"Tower 3, Seacoast Royale",25/12/2022,
Tuen Mun,"Lok Sang House, Kin Sang Estate",25/12/2022,
Tuen Mun,"Tower 2B, Mount Regency",25/12/2022,
Tuen Mun,"Tower 2, Mount Regency",25/12/2022,
Tuen Mun,"Block 6, Handsome Court",25/12/2022,
Tuen Mun,"House 3, Marina Garden",25/12/2022,
Tuen Mun,San Hing Village,25/12/2022,
Tuen Mun,Winfield Industrial Building,25/12/2022,
Tuen Mun,Pui Lin Garden,25/12/2022,
Tuen Mun,"Block 1, Aqua Blue",25/12/2022,
Tuen Mun,"Block 2, Aqua Blue",25/12/2022,
Tuen Mun,"Block 1, Aquamarine Garden",25/12/2022,
Tuen Mun,"Tower 11, The Laguna, The Bloomsway",25/12/2022,
Tuen Mun,"Tower 12, The Laguna, The Bloomsway",25/12/2022,
Tuen Mun,"Block 1, Ebony, The Hillgrove",25/12/2022,
Tuen Mun,"Opulent House, Affluence Garden",25/12/2022,
Tuen Mun,"Block 7, Peridot Court",25/12/2022,
Tuen Mun,"Block 10, Botania Villa",25/12/2022,
Tuen Mun,"Block 6, Botania Villa",25/12/2022,
Tuen Mun,"Block 8, Botania Villa",25/12/2022,
Tuen Mun,"Block 3, Tsui Ning Garden",25/12/2022,
Tuen Mun,"Tower 3, Palm Cove",25/12/2022,
Tuen Mun,Greenview,25/12/2022,
Tuen Mun,Hing Fat Building,25/12/2022,
Tuen Mun,Wah Lok Mansion,25/12/2022,
Tuen Mun,"Phase 2, Miami Club",25/12/2022,
Tuen Mun,Elegant Villa,25/12/2022,
Tuen Mun,"Block B, Castle Peak Villas",25/12/2022,
Tuen Mun,"Block 18, Hong Kong Gold Coast",25/12/2022,
Tuen Mun,Lai Bo Building,25/12/2022,
Tuen Mun,Gold Coast Hotel,25/12/2022,
Tuen Mun,"Tower 2, JC Place",25/12/2022,
Tuen Mun,"Block 1, Lung Mun Oasis",25/12/2022,
Tuen Mun,"Block 5, Lung Mun Oasis",25/12/2022,
Tuen Mun,1 Lung Kwu Tan,25/12/2022,
Tuen Mun,Yick Yuen Village,24/12/2022,
Tuen Mun,"Lau King House, Siu Shan Court",24/12/2022,
Tuen Mun,Lucky Building,24/12/2022,
Tuen Mun,"Block 4, Dragon Inn Court",24/12/2022,
Tuen Mun,Florence Mansion,24/12/2022,
Tuen Mun,Siu Sau Village,24/12/2022,
Tuen Mun,"Block 8, Handsome Court",24/12/2022,
Tuen Mun,Mai Kei Building,24/12/2022,
Tuen Mun,"Tower 2, Tsing Yung Terrace",24/12/2022,
Tuen Mun,"Tower 6, Hong Kong Gold Coast",24/12/2022,
Tuen Mun,Yan Oi Building,23/12/2022,
Tuen Mun,"Ting Pong House, Siu On Court",23/12/2022,
Tuen Mun,"Block 1, Richland Garden",23/12/2022,
Tuen Mun,Dorboa Building,23/12/2022,
Tuen Mun,"Block 2, Po Tin Estate",23/12/2022,
Tuen Mun,"Block 3, Po Tin Estate",23/12/2022,
Tuen Mun,"Block 5, Po Tin Estate",23/12/2022,
Tuen Mun,"Block 6, Po Tin Estate",23/12/2022,
Tuen Mun,"Block 7, Po Tin Estate",23/12/2022,
Tuen Mun,Hong Lai Garden,23/12/2022,
Tuen Mun,"Block 25, Ming Wong Garden",23/12/2022,
Tuen Mun,"Tower 9, Avignon",23/12/2022,
Tuen Mun,"Tower 1, Palm Beach",23/12/2022,
Tuen Mun,"Block 3, Aqua Blue",23/12/2022,
Tuen Mun,"Block 2, Seaview Garden",23/12/2022,
Tuen Mun,"Block 7, Grand Pacific Heights",23/12/2022,
Tuen Mun,"Block 9, Grand Pacific Heights",23/12/2022,
Tuen Mun,Pierhead Garden,23/12/2022,
Tuen Mun,"Block 2, Bauhinia Garden",23/12/2022,
Tuen Mun,"Lok Hing Yuen, Chi Lok Fa Yuen",23/12/2022,
Tuen Mun,"Tower 6, Palm Cove",23/12/2022,
Tuen Mun,Lam Tei New Village,23/12/2022,
Tuen Mun,Common Bond Building,23/12/2022,
Tuen Mun,"Pentahotel Hong Kong, Tuen Mun",23/12/2022,
Tuen Mun,"Block 2, Hong Kong Gold Coast",23/12/2022,
Tuen Mun,Hip Pont Building,22/12/2022,
Tuen Mun,Wo Ping New Village,22/12/2022,
Tuen Mun,"Block 10, Glorious Garden",22/12/2022,
Tuen Mun,"Block 8, Po Tin Estate",22/12/2022,
Tuen Mun,Tuen Mun Fa Yuen,22/12/2022,
Tuen Mun,"Block B, Tak Lee Industrial Centre",22/12/2022,
Tuen Mun,"Block 7, Handsome Court",22/12/2022,
Tuen Mun,Shun Shing Building,22/12/2022,
Tuen Mun,"Tower 12, The Laguna",22/12/2022,
Tuen Mun,"Block 9, Botania Villa",22/12/2022,
Tuen Mun,"Block F, Castle Peak Villas",22/12/2022,
Tuen Mun,"Block 16, Hong Kong Gold Coast",22/12/2022,
Tuen Mun,"Block 7, Hong Kong Gold Coast",22/12/2022,
Wan Chai,Resiglow-Happy Valley,28/12/2022,
Wan Chai,"Tower 1, Serenade",28/12/2022,
Wan Chai,"Tower 2, Serenade",28/12/2022,
Wan Chai,Shing Loong Court,28/12/2022,
Wan Chai,"Tower C, Elizabeth House",28/12/2022,
Wan Chai,Southorn Garden,28/12/2022,
Wan Chai,The Elegance,28/12/2022,
Wan Chai,Silvervale Mansion,28/12/2022,
Wan Chai,"Block 2, Illumination Terrace",28/12/2022,
Wan Chai,Triumph Court,28/12/2022,
Wan Chai,Senior Building,28/12/2022,
Wan Chai,Shing Wah Mansion,28/12/2022,
Wan Chai,"Lai Kit Lau, Lai Tak Tsuen",28/12/2022,
Wan Chai,"Tak Chuen Lau, Lai Tak Tsuen",28/12/2022,
Wan Chai,"Tsuen Wing Lau, Lai Tak Tsuen",28/12/2022,
Wan Chai,Hip Sang Building,28/12/2022,
Wan Chai,Nam Hoy Building,28/12/2022,
Wan Chai,Friendship Court,28/12/2022,
Wan Chai,Malibu Garden,28/12/2022,
Wan Chai,"Block B, Greenville Gardens",28/12/2022,
Wan Chai,J Residence,28/12/2022,
Wan Chai,"Tower 1, The Avenue",28/12/2022,
Wan Chai,"Tower 2, The Avenue",28/12/2022,
Wan Chai,1 Tai Hang Road,28/12/2022,
Wan Chai,Viking Villas,28/12/2022,
Wan Chai,Po Ming Building,28/12/2022,
Wan Chai,The Gloucester,28/12/2022,
Wan Chai,Warrenwoods,28/12/2022,
Wan Chai,"Block 1, The Zenith",28/12/2022,
Wan Chai,"Phase 2, Shan Kwong Towers",28/12/2022,
Wan Chai,Nin Fung Mansion,28/12/2022,
Wan Chai,"Block A, Kwong Sang Hong Building",28/12/2022,
Wan Chai,"Block B, Kin Lee Building",28/12/2022,
Wan Chai,Opulent Building,28/12/2022,
Wan Chai,Yee On Building,28/12/2022,
Wan Chai,Yue On Mansion,28/12/2022,
Wan Chai,"Block B, Elm Tree Towers",28/12/2022,
Wan Chai,Yue King Building,28/12/2022,
Wan Chai,Grandview Tower,28/12/2022,
Wan Chai,Keswick Court,28/12/2022,
Wan Chai,Mandarin Villa,28/12/2022,
Wan Chai,Cheong Shing Mansion,28/12/2022,
Wan Chai,"Tower 2, Starcrest",28/12/2022,
Wan Chai,Moonstar Court,28/12/2022,
Wan Chai,Starlight Garden,28/12/2022,
Wan Chai,Chun Fai Building,28/12/2022,
Wan Chai,King Cheung Mansion,28/12/2022,
Wan Chai,Tonnochy Towers,28/12/2022,
Wan Chai,"Block D, Evergreen Villa",28/12/2022,
Wan Chai,"Tower 1, Park Towers",28/12/2022,
Wan Chai,Butler Towers,28/12/2022,
Wan Chai,Happy Villa,28/12/2022,
Wan Chai,Lok Ku House,28/12/2022,
Wan Chai,Broadview Villa,28/12/2022,
Wan Chai,Lucky House,28/12/2022,
Wan Chai,Broadville,28/12/2022,
Wan Chai,"Block A, Villa Rocha",28/12/2022,
Wan Chai,"Block B, Villa Rocha",28/12/2022,
Wan Chai,Lok Sing Centre,28/12/2022,
Wan Chai,"Block A, Villa Lotto",28/12/2022,
Wan Chai,Yuk Sau Mansion,28/12/2022,
Wan Chai,"Block A, Beverly Hill",28/12/2022,
Wan Chai,"Block B, Beverly Hill",28/12/2022,
Wan Chai,"Block D, Beverly Hill",28/12/2022,
Wan Chai,"Block F, Beverly Hill",28/12/2022,
Wan Chai,"Block J, Beverly Hill",28/12/2022,
Wan Chai,"Block A, Wing Tak Mansion",28/12/2022,
Wan Chai,"Block B, Wing Tak Mansion",28/12/2022,
Wan Chai,Thai Kong Building,28/12/2022,
Wan Chai,Marco Polo Mansion,28/12/2022,
Wan Chai,Hoi Deen Court,28/12/2022,
Wan Chai,Hoi Tao Building,28/12/2022,
Wan Chai,"Tower 5, The Legend At Jardine's Lookout",28/12/2022,
Wan Chai,Monticello,28/12/2022,
Wan Chai,Giok San Building,28/12/2022,
Wan Chai,Jade House,28/12/2022,
Wan Chai,"Block C, Villa Monte Rosa",28/12/2022,
Wan Chai,Pearl City Mansion,28/12/2022,
Wan Chai,"Block 1, Swiss Towers",28/12/2022,
Wan Chai,Hundred City Centre,28/12/2022,
Wan Chai,Royal Court,28/12/2022,
Wan Chai,Fook Wo Building,28/12/2022,
Wan Chai,Fook Gay Mansion,28/12/2022,
Wan Chai,Leigyinn Building,28/12/2022,
Wan Chai,Lap Tak Building,28/12/2022,
Wan Chai,Bamboo Grove,28/12/2022,
Wan Chai,Jolly Villa,28/12/2022,
Wan Chai,Green Lane Hall,28/12/2022,
Wan Chai,"Block 1, Victoria Centre",28/12/2022,
Wan Chai,"Block 2, Victoria Centre",28/12/2022,
Wan Chai,The Consonance,28/12/2022,
Wan Chai,10 Min Fat Street,28/12/2022,
Wan Chai,"Tower 2, Jupiter Terrace",28/12/2022,
Wan Chai,Chee On Building,28/12/2022,
Wan Chai,Ihome Centre,28/12/2022,
Wan Chai,Mayland Court,28/12/2022,
Wan Chai,"Block A, Greenside Villa",28/12/2022,
Wan Chai,"Block B, Greenside Villa",28/12/2022,
Wan Chai,Trillion Court,28/12/2022,
Wan Chai,8 Shiu Fai Terrace,28/12/2022,
Wan Chai,Ying King Building,28/12/2022,
Wan Chai,Great George Building,28/12/2022,
Wan Chai,Wah Ying Building,28/12/2022,
Wan Chai,The Oakhill,28/12/2022,
Wan Chai,Renaissance Harbour View Hotel,28/12/2022,
Wan Chai,Horseshoe Tower,28/12/2022,
Wan Chai,"Caroline Height, 1 Link Road",28/12/2022,
Wan Chai,"Block A, San Francisco Towers",28/12/2022,
Wan Chai,Kam Yuk Mansion,28/12/2022,
Wan Chai,Kam Tao Building,28/12/2022,
Wan Chai,"Block A, Dragon Court",28/12/2022,
Wan Chai,"Block B, Dragon Court",28/12/2022,
Wan Chai,Wealthy Mansion,28/12/2022,
Wan Chai,Villa D' Arte,28/12/2022,
Wan Chai,Ventris Place,28/12/2022,
Wan Chai,Fly Dragon Terrace,28/12/2022,
Wan Chai,Grand Hyatt Hong Kong,28/12/2022,
Wan Chai,Rosedale Hotel Hong Kong,28/12/2022,
Wan Chai,Holiday Inn Express Causeway Bay Hong Kong,28/12/2022,
Wan Chai,344-346 Lockhart Road,28/12/2022,
Wan Chai,Le Village,28/12/2022,
Wan Chai,"Block 4, Phoenix Court",28/12/2022,
Wan Chai,Hung Yip Building,28/12/2022,
Wan Chai,Lai Yuen Apartment,28/12/2022,
Wan Chai,Dragon Heart Court,28/12/2022,
Wan Chai,"Block 1, Ronsdale Garden",28/12/2022,
Wan Chai,"Block 2, Ronsdale Garden",28/12/2022,
Wan Chai,Yoo Residence,27/12/2022,
Wan Chai,York Place,27/12/2022,
Wan Chai,Belle House,27/12/2022,
Wan Chai,Dragon Pride,27/12/2022,
Wan Chai,Kiu Hing Mansion,27/12/2022,
Wan Chai,"Block 1, Illumination Terrace",27/12/2022,
Wan Chai,Chuen Fung Building,27/12/2022,
Wan Chai,Caroline Garden,27/12/2022,
Wan Chai,Nam Wing Building,27/12/2022,
Wan Chai,South Pacific Hotel,27/12/2022,
Wan Chai,Everwin Mansion,27/12/2022,
Wan Chai,Beverly Court,27/12/2022,
Wan Chai,Caine Mansion,27/12/2022,
Wan Chai,"Tower 5, The Avenue",27/12/2022,
Wan Chai,Cathay Lodge,27/12/2022,
Wan Chai,City Centre Building,27/12/2022,
Wan Chai,On Hing Mansion,27/12/2022,
Wan Chai,Wang Fat Building,27/12/2022,
Wan Chai,Fu Yuen,27/12/2022,
Wan Chai,"Block 3, The Zenith",27/12/2022,
Wan Chai,San Ho Building,27/12/2022,
Wan Chai,Grand Deco Tower,27/12/2022,
Wan Chai,"Block A, Kin Lee Building",27/12/2022,
Wan Chai,Woodland Heights,27/12/2022,
Wan Chai,Eastman Court,27/12/2022,
Wan Chai,Smiley Court,27/12/2022,
Wan Chai,Oi Kwan Court,27/12/2022,
Wan Chai,Brilliant Court,27/12/2022,
Wan Chai,1A Sing Woo Crescent,27/12/2022,
Wan Chai,Sun Kai Mansion,27/12/2022,
Wan Chai,Morengo Court,27/12/2022,
Wan Chai,Ming Hing Building,27/12/2022,
Wan Chai,Sing Kong Building,27/12/2022,
Wan Chai,23 King Kwong Street,27/12/2022,
Wan Chai,Highcliff,27/12/2022,
Wan Chai,Merlin Garden,27/12/2022,
Wan Chai,"Tower 2, Park Towers",27/12/2022,
Wan Chai,Wing Wah Building,27/12/2022,
Wan Chai,Yuk Sing Building,27/12/2022,
Wan Chai,"Block G, Beverly Hill",27/12/2022,
Wan Chai,Wing Way Court,27/12/2022,
Wan Chai,Hoi Sun Building,27/12/2022,
Wan Chai,Grand Seaview Heights,27/12/2022,
Wan Chai,Hyde Centre,27/12/2022,
Wan Chai,"Block B, Causeway Centre",27/12/2022,
Wan Chai,The Harbourview,27/12/2022,
Wan Chai,"Block A, Hay Wah Building",27/12/2022,
Wan Chai,"Block D, Paterson Building",27/12/2022,
Wan Chai,"Tower 2, The Leighton Hill",27/12/2022,
Wan Chai,"Block 3, Victoria Centre",27/12/2022,
Wan Chai,The Hemispheres,27/12/2022,
Wan Chai,"Block B, Viking Garden",27/12/2022,
Wan Chai,Hamilton Mansion,27/12/2022,
Wan Chai,Luen Sen Building,27/12/2022,
Wan Chai,Ying Lee Building,27/12/2022,
Wan Chai,Vienna Mansion,27/12/2022,
Wan Chai,Manrich Court,27/12/2022,
Wan Chai,Blue Pool Court,27/12/2022,
Wan Chai,37 Blue Pool Road,27/12/2022,
Wan Chai,"Tower 2, Broom Garden",27/12/2022,
Wan Chai,"Tower 2, Sherwood Court",27/12/2022,
Wan Chai,Fine Mansion,27/12/2022,
Wan Chai,Henning House,27/12/2022,
Wan Chai,Hennessy Apartments,27/12/2022,
Wan Chai,Hin Wah Building,27/12/2022,
Wan Chai,"Block B, San Francisco Towers",27/12/2022,
Wan Chai,The Jolly House,27/12/2022,
Wan Chai,Golden Court,27/12/2022,
Wan Chai,Golden Dragon Building,27/12/2022,
Wan Chai,Ngan Tao Building,27/12/2022,
Wan Chai,Aurora,27/12/2022,
Wan Chai,Kam Tak Mansion,27/12/2022,
Wan Chai,Broadview Mansion,27/12/2022,
Wan Chai,Ascot Mansion,27/12/2022,
Wan Chai,Hong Kong Mansion,27/12/2022,
Wan Chai,"Block A, Lockhart House",27/12/2022,
Wan Chai,Lockhart House,27/12/2022,
Wan Chai,Gold Ning Mansion,27/12/2022,
Wan Chai,Phoenix Apartments,27/12/2022,
Wan Chai,Hung On Building,27/12/2022,
Wan Chai,Hung Fook Mansion,27/12/2022,
Wan Chai,Dragon Garden,27/12/2022,
Wan Chai,Yan Wo Yuet Building,26/12/2022,
Wan Chai,"Tower A, Elizabeth House",26/12/2022,
Wan Chai,"Tower B, Elizabeth House",26/12/2022,
Wan Chai,Wai Lun Mansion,26/12/2022,
Wan Chai,Top View Mansion,26/12/2022,
Wan Chai,Silverwood,26/12/2022,
Wan Chai,Caroline Hill Court,26/12/2022,
Wan Chai,Way Man Court,26/12/2022,
Wan Chai,Yau Kwong Building,26/12/2022,
Wan Chai,H. & S. Building,26/12/2022,
Wan Chai,"Block 5, Cavendish Heights",26/12/2022,
Wan Chai,"Block 6, Cavendish Heights",26/12/2022,
Wan Chai,"Tower 3, The Avenue",26/12/2022,
Wan Chai,Cathay Mansion,26/12/2022,
Wan Chai,Bowrington Building,26/12/2022,
Wan Chai,Haven Court,26/12/2022,
Wan Chai,Kingstown Mansion,26/12/2022,
Wan Chai,Majestic Court,26/12/2022,
Wan Chai,Tak Fat Building,26/12/2022,
Wan Chai,Hang Tak Building,26/12/2022,
Wan Chai,Horace Court,26/12/2022,
Wan Chai,Cheerful Court,26/12/2022,
Wan Chai,"Block 1, Flora Garden",26/12/2022,
Wan Chai,"Block 3, Flora Garden",26/12/2022,
Wan Chai,Sing Kung Lau,26/12/2022,
Wan Chai,King Sing Mansion,26/12/2022,
Wan Chai,Convention Plaza Apartments,26/12/2022,
Wan Chai,Lok Moon Mansion,26/12/2022,
Wan Chai,"Block D, Villa Lotto",26/12/2022,
Wan Chai,"Block C, Beverly Hill",26/12/2022,
Wan Chai,Tai Wah Building,26/12/2022,
Wan Chai,Overseas Building,26/12/2022,
Wan Chai,87 Wan Chai Road,26/12/2022,
